% Model:              hppc_creat.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 13 2023, 11:17
% Table:              表格 3 - 全局计算 2
% SOC                    Time (s)                 comp1.pw1(t)*I_1C (A)    Ecell (V)
0.9                      15.200000000000001       -27.1                    4.229809970951334
0.9                      15.3                     -27.1                    4.230076115166766
0.9                      15.4                     -27.1                    4.230338861655398
0.9                      15.5                     -27.1                    4.230598307074854
0.9                      15.600000000000001       -27.1                    4.230854542159015
0.9                      15.700000000000001       -27.1                    4.231107652302305
0.9                      15.8                     -27.1                    4.231357718075631
0.9                      15.9                     -27.1                    4.231604815672053
0.9                      16                       -27.1                    4.231849017304977
0.9                      16.1                     -27.1                    4.232090391555565
0.9                      16.2                     -27.1                    4.232329003685059
0.9                      16.3                     -27.1                    4.232564915909164
0.9                      16.400000000000002       -27.1                    4.2327981876285925
0.9                      16.5                     -27.1                    4.23302887564318
0.9                      16.6                     -27.1                    4.233257034345144
0.9                      16.7                     -27.1                    4.23348271589232
0.9                      16.8                     -27.1                    4.233705970365573
0.9                      16.900000000000002       -27.1                    4.233926845909235
0.9                      17                       -27.1                    4.23414538886037
0.9                      17.1                     -27.1                    4.234361643864435
0.9                      17.2                     -27.1                    4.2345756539822625
0.9                      17.3                     -27.1                    4.23478746078609
0.9                      17.400000000000002       -27.1                    4.234997103942005
0.9                      17.5                     -27.1                    4.235204621481576
0.9                      17.6                     -27.1                    4.235410049988684
0.9                      17.7                     -27.1                    4.2356134256626685
0.9                      17.8                     -27.1                    4.235814783219191
0.9                      17.900000000000002       -27.1                    4.236014156927292
0.9                      18                       -27.1                    4.236211579515168
0.9                      18.1                     -27.1                    4.236407083466057
0.9                      18.2                     -27.1                    4.236600666375271
0.9                      18.3                     -27.1                    4.236792345644545
0.9                      18.400000000000002       -27.1                    4.236982169043684
0.9                      18.5                     -27.1                    4.237170170421863
0.9                      18.6                     -27.1                    4.237356380553428
0.9                      18.7                     -27.1                    4.237540827942266
0.9                      18.8                     -27.1                    4.237723540840389
0.9                      18.900000000000002       -27.1                    4.237904543501391
0.9                      19                       -27.1                    4.238083862690216
0.9                      19.1                     -27.1                    4.2382615222671935
0.9                      19.200000000000003       -27.1                    4.238437543945133
0.9                      19.3                     -27.1                    4.23861195011007
0.9                      19.400000000000002       -27.1                    4.238784759335123
0.9                      19.5                     -27.1                    4.2389559868358075
0.9                      19.6                     -27.1                    4.239125674911968
0.9                      19.700000000000003       -27.1                    4.239293864070186
0.9                      19.8                     -27.1                    4.239460575687244
0.9                      19.900000000000002       -27.1                    4.2396258309869195
0.9                      20                       -27.1                    4.239789650552856
0.8                      0                        0                        4.077549455754313
0.8                      0.1                      0                        4.077549455754313
0.8                      0.2                      0                        4.077549455754314
0.8                      0.30000000000000004      0                        4.077549455754313
0.8                      0.4                      0                        4.077549455754313
0.8                      0.5                      0                        4.077549455754313
0.8                      0.6000000000000001       0                        4.077549455754313
